Vardas          Pavarde       Galutinis
vardas2        pavarde2       7.39
vardas3        pavarde3       7.75
vardas4        pavarde4       6.27
vardas7        pavarde7       6.88
vardas10       pavarde10      7.80
vardas13       pavarde13      6.13
vardas14       pavarde14      6.83
vardas16       pavarde16      7.25
vardas19       pavarde19      7.01
vardas24       pavarde24      5.68
vardas26       pavarde26      5.00
vardas31       pavarde31      6.47
vardas34       pavarde34      5.43
vardas37       pavarde37      7.53
vardas38       pavarde38      7.23
vardas40       pavarde40      6.75
vardas42       pavarde42      5.97
vardas43       pavarde43      6.35
vardas44       pavarde44      6.23
vardas45       pavarde45      7.53
vardas48       pavarde48      5.52
vardas49       pavarde49      7.39
vardas50       pavarde50      5.65
vardas51       pavarde51      7.00
vardas52       pavarde52      5.12
vardas54       pavarde54      7.09
vardas56       pavarde56      8.48
vardas57       pavarde57      6.15
vardas58       pavarde58      7.67
vardas60       pavarde60      7.48
vardas64       pavarde64      6.55
vardas66       pavarde66      6.23
vardas68       pavarde68      6.93
vardas70       pavarde70      7.60
vardas71       pavarde71      7.72
vardas73       pavarde73      7.97
vardas75       pavarde75      5.29
vardas76       pavarde76      5.92
vardas78       pavarde78      5.29
vardas80       pavarde80      8.16
vardas81       pavarde81      5.05
vardas82       pavarde82      5.11
vardas83       pavarde83      5.13
vardas84       pavarde84      5.03
vardas85       pavarde85      6.57
vardas87       pavarde87      5.76
vardas88       pavarde88      6.81
vardas89       pavarde89      5.64
vardas90       pavarde90      5.37
vardas92       pavarde92      7.79
vardas97       pavarde97      7.07
vardas98       pavarde98      7.80
vardas100      pavarde100     6.80
vardas104      pavarde104     7.64
vardas106      pavarde106     6.83
vardas108      pavarde108     6.59
vardas109      pavarde109     7.35
vardas111      pavarde111     7.75
vardas112      pavarde112     5.68
vardas113      pavarde113     6.31
vardas114      pavarde114     7.25
vardas115      pavarde115     6.61
vardas116      pavarde116     6.65
vardas119      pavarde119     6.17
vardas122      pavarde122     5.76
vardas123      pavarde123     5.52
vardas124      pavarde124     5.04
vardas126      pavarde126     5.40
vardas127      pavarde127     7.23
vardas128      pavarde128     7.61
vardas129      pavarde129     7.09
vardas131      pavarde131     6.31
vardas134      pavarde134     6.75
vardas139      pavarde139     7.29
vardas140      pavarde140     6.20
vardas141      pavarde141     7.07
vardas143      pavarde143     5.40
vardas144      pavarde144     5.71
vardas146      pavarde146     7.39
vardas148      pavarde148     5.88
vardas149      pavarde149     6.47
vardas150      pavarde150     7.23
vardas151      pavarde151     6.80
vardas152      pavarde152     6.20
vardas153      pavarde153     6.29
vardas154      pavarde154     5.99
vardas155      pavarde155     8.05
vardas156      pavarde156     6.73
vardas157      pavarde157     7.15
vardas158      pavarde158     7.43
vardas159      pavarde159     7.47
vardas160      pavarde160     8.51
vardas163      pavarde163     8.35
vardas166      pavarde166     7.75
vardas167      pavarde167     7.47
vardas168      pavarde168     7.25
vardas169      pavarde169     8.43
vardas171      pavarde171     6.96
vardas172      pavarde172     7.49
vardas174      pavarde174     6.16
vardas175      pavarde175     5.71
vardas177      pavarde177     6.33
vardas178      pavarde178     5.59
vardas179      pavarde179     6.21
vardas180      pavarde180     8.67
vardas183      pavarde183     5.21
vardas184      pavarde184     7.64
vardas185      pavarde185     8.12
vardas186      pavarde186     6.27
vardas189      pavarde189     8.24
vardas192      pavarde192     7.53
vardas194      pavarde194     5.65
vardas195      pavarde195     5.59
vardas198      pavarde198     7.09
vardas200      pavarde200     6.11
vardas202      pavarde202     7.81
vardas203      pavarde203     5.63
vardas209      pavarde209     7.04
vardas210      pavarde210     6.97
vardas211      pavarde211     5.45
vardas213      pavarde213     6.91
vardas215      pavarde215     7.65
vardas218      pavarde218     7.76
vardas221      pavarde221     6.15
vardas222      pavarde222     5.89
vardas225      pavarde225     5.96
vardas228      pavarde228     5.35
vardas231      pavarde231     5.97
vardas234      pavarde234     6.47
vardas241      pavarde241     5.87
vardas242      pavarde242     5.35
vardas243      pavarde243     8.01
vardas244      pavarde244     5.25
vardas245      pavarde245     7.69
vardas248      pavarde248     5.96
vardas250      pavarde250     7.67
vardas252      pavarde252     7.55
vardas255      pavarde255     6.73
vardas256      pavarde256     7.68
vardas257      pavarde257     6.87
vardas258      pavarde258     7.67
vardas259      pavarde259     6.25
vardas260      pavarde260     8.00
vardas263      pavarde263     7.56
vardas265      pavarde265     5.27
vardas267      pavarde267     5.51
vardas268      pavarde268     7.40
vardas270      pavarde270     7.67
vardas271      pavarde271     6.80
vardas273      pavarde273     8.32
vardas274      pavarde274     7.91
vardas275      pavarde275     6.85
vardas276      pavarde276     8.37
vardas277      pavarde277     7.31
vardas279      pavarde279     7.99
vardas282      pavarde282     5.37
vardas284      pavarde284     7.41
vardas287      pavarde287     6.15
vardas288      pavarde288     7.71
vardas289      pavarde289     5.65
vardas293      pavarde293     7.23
vardas296      pavarde296     6.75
vardas297      pavarde297     5.55
