Vardas          Pavarde       Galutinis
vardas0        pavarde0       2.87
vardas1        pavarde1       3.65
vardas5        pavarde5       4.15
vardas6        pavarde6       3.72
vardas8        pavarde8       4.44
vardas9        pavarde9       4.88
vardas11       pavarde11      4.72
vardas12       pavarde12      3.17
vardas15       pavarde15      3.96
vardas17       pavarde17      3.55
vardas18       pavarde18      2.57
vardas20       pavarde20      3.96
vardas21       pavarde21      3.19
vardas22       pavarde22      4.73
vardas23       pavarde23      3.37
vardas25       pavarde25      3.49
vardas27       pavarde27      2.52
vardas28       pavarde28      3.56
vardas29       pavarde29      3.83
vardas30       pavarde30      3.87
vardas32       pavarde32      4.49
vardas33       pavarde33      4.64
vardas35       pavarde35      3.36
vardas36       pavarde36      4.99
vardas39       pavarde39      4.75
vardas41       pavarde41      3.23
vardas46       pavarde46      3.69
vardas47       pavarde47      3.27
vardas53       pavarde53      4.84
vardas55       pavarde55      2.81
vardas59       pavarde59      2.92
vardas61       pavarde61      3.77
vardas62       pavarde62      2.57
vardas63       pavarde63      4.69
vardas65       pavarde65      4.04
vardas67       pavarde67      4.29
vardas69       pavarde69      4.24
vardas72       pavarde72      4.53
vardas74       pavarde74      2.88
vardas77       pavarde77      3.61
vardas79       pavarde79      2.33
vardas86       pavarde86      3.20
vardas91       pavarde91      3.43
vardas93       pavarde93      4.69
vardas94       pavarde94      3.80
vardas95       pavarde95      3.36
vardas96       pavarde96      4.61
vardas99       pavarde99      3.47
vardas101      pavarde101     4.89
vardas102      pavarde102     4.61
vardas103      pavarde103     3.23
vardas105      pavarde105     4.27
vardas107      pavarde107     4.60
vardas110      pavarde110     4.39
vardas117      pavarde117     4.49
vardas118      pavarde118     4.77
vardas120      pavarde120     3.75
vardas121      pavarde121     2.73
vardas125      pavarde125     3.11
vardas130      pavarde130     3.25
vardas132      pavarde132     4.07
vardas133      pavarde133     4.84
vardas135      pavarde135     2.39
vardas136      pavarde136     3.67
vardas137      pavarde137     4.53
vardas138      pavarde138     4.92
vardas142      pavarde142     4.25
vardas145      pavarde145     4.12
vardas147      pavarde147     2.89
vardas161      pavarde161     3.88
vardas162      pavarde162     3.92
vardas164      pavarde164     4.83
vardas165      pavarde165     3.72
vardas170      pavarde170     2.71
vardas173      pavarde173     3.69
vardas176      pavarde176     4.91
vardas181      pavarde181     4.07
vardas182      pavarde182     3.52
vardas187      pavarde187     3.87
vardas188      pavarde188     2.39
vardas190      pavarde190     4.09
vardas191      pavarde191     4.88
vardas193      pavarde193     3.57
vardas196      pavarde196     4.72
vardas197      pavarde197     2.97
vardas199      pavarde199     4.75
vardas201      pavarde201     3.88
vardas204      pavarde204     2.28
vardas205      pavarde205     2.52
vardas206      pavarde206     4.56
vardas207      pavarde207     4.67
vardas208      pavarde208     4.59
vardas212      pavarde212     4.32
vardas214      pavarde214     4.97
vardas216      pavarde216     4.84
vardas217      pavarde217     3.61
vardas219      pavarde219     3.91
vardas220      pavarde220     4.91
vardas223      pavarde223     2.96
vardas224      pavarde224     4.41
vardas226      pavarde226     2.87
vardas227      pavarde227     4.35
vardas229      pavarde229     2.28
vardas230      pavarde230     3.29
vardas232      pavarde232     4.35
vardas233      pavarde233     4.56
