Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
vardas0 pavarde0 9 5 8 10 10 3 8 1 1 3 9 6 2 8 2 1
vardas1 pavarde1 6 6 4 7 10 1 6 10 5 3 8 5 9 4 8 2
vardas2 pavarde2 1 2 6 8 5 1 3 4 4 1 1 2 2 6 6 10
vardas3 pavarde3 10 3 3 9 3 9 6 4 8 7 10 8 4 3 1 9
vardas4 pavarde4 4 1 1 6 4 3 3 6 5 6 4 3 2 6 1 8
vardas5 pavarde5 3 9 1 2 6 6 10 9 10 5 4 10 3 7 3 3
vardas6 pavarde6 5 3 6 8 7 3 5 3 1 6 3 7 4 3 8 3
vardas7 pavarde7 3 3 8 3 2 1 5 4 9 6 7 9 6 10 2 8
vardas8 pavarde8 2 10 9 8 9 6 10 2 3 6 5 10 4 9 6 3
vardas9 pavarde9 3 9 4 10 10 3 4 7 6 8 7 1 4 10 7 4
vardas10 pavarde10 10 5 5 9 5 5 4 1 10 7 5 8 5 3 8 9
vardas11 pavarde11 7 10 4 3 2 7 4 3 10 1 9 10 2 9 6 4
vardas12 pavarde12 4 3 7 5 8 1 7 5 7 1 2 5 8 8 3 2
vardas13 pavarde13 1 2 8 10 9 8 5 6 10 5 8 1 5 8 9 6
vardas14 pavarde14 5 3 2 8 8 2 5 9 9 4 4 4 3 7 3 8
vardas15 pavarde15 6 2 2 6 9 7 3 1 10 1 6 5 7 7 9 3
vardas16 pavarde16 2 7 8 8 4 7 5 6 9 10 2 7 6 2 9 8
vardas17 pavarde17 2 6 7 6 5 3 4 7 10 6 7 8 6 8 3 2
vardas18 pavarde18 3 8 1 3 3 4 10 2 1 4 6 6 8 7 8 1
vardas19 pavarde19 5 3 3 10 10 1 8 10 5 6 5 10 1 2 4 8
vardas20 pavarde20 7 3 4 8 7 3 5 10 2 6 8 1 2 6 9 3
vardas21 pavarde21 5 4 3 10 10 3 4 9 6 7 10 3 8 10 5 1
vardas22 pavarde22 5 2 10 9 10 3 1 1 8 2 3 2 1 2 6 5
vardas23 pavarde23 3 1 2 6 3 6 7 2 10 7 5 3 2 1 1 3
vardas24 pavarde24 9 9 1 6 6 5 2 1 4 5 8 2 2 8 10 6
vardas25 pavarde25 9 6 1 5 2 5 4 5 4 7 9 7 10 4 8 2
vardas26 pavarde26 1 9 5 9 5 3 4 5 2 4 4 8 6 5 5 5
vardas27 pavarde27 2 6 3 1 4 7 1 8 10 10 1 7 3 6 3 1
vardas28 pavarde28 5 2 5 10 3 10 1 1 10 2 3 3 6 2 3 3
vardas29 pavarde29 9 2 10 9 10 5 4 3 6 6 3 3 3 2 1 3
vardas30 pavarde30 1 2 10 4 10 9 6 6 10 9 7 7 2 7 10 2
vardas31 pavarde31 10 1 5 10 2 5 9 4 7 3 6 6 6 9 2 7
vardas32 pavarde32 1 5 2 5 4 7 3 7 4 3 6 1 3 1 4 5
vardas33 pavarde33 2 1 4 10 7 5 10 10 7 5 10 1 5 4 3 4
vardas34 pavarde34 3 5 7 3 1 8 1 6 9 9 8 5 6 10 10 5
vardas35 pavarde35 9 7 7 3 2 4 6 10 8 10 2 3 4 1 5 2
vardas36 pavarde36 9 3 6 9 8 8 5 10 3 6 3 10 5 5 7 4
vardas37 pavarde37 1 3 9 4 9 5 2 4 3 5 6 5 9 10 5 9
vardas38 pavarde38 2 9 1 2 3 4 10 10 5 5 6 10 10 7 7 8
vardas39 pavarde39 1 7 9 4 6 6 1 10 10 6 4 8 3 9 4 4
vardas40 pavarde40 1 6 2 6 10 2 3 5 9 8 3 3 10 3 2 8
vardas41 pavarde41 3 4 2 5 6 7 9 7 4 8 2 1 9 4 5 2
vardas42 pavarde42 10 10 6 6 3 4 2 8 3 5 10 2 6 8 6 6
vardas43 pavarde43 9 2 5 2 2 1 4 5 8 1 1 2 2 10 4 8
vardas44 pavarde44 5 2 8 8 7 1 5 3 8 1 2 8 8 1 9 7
vardas45 pavarde45 10 1 1 2 10 8 8 4 3 1 2 10 9 2 9 9
vardas46 pavarde46 1 3 4 6 2 3 3 8 7 8 6 2 3 9 6 3
vardas47 pavarde47 5 6 8 9 7 9 1 3 10 10 8 4 2 9 9 1
vardas48 pavarde48 8 3 8 4 1 2 8 5 1 1 9 8 2 2 10 6
vardas49 pavarde49 9 10 1 9 6 2 10 9 7 8 4 5 7 6 4 8
vardas50 pavarde50 7 2 5 6 5 3 3 7 4 7 9 2 10 5 2 6
vardas51 pavarde51 5 8 1 7 7 1 1 1 5 6 1 9 5 2 1 9
vardas52 pavarde52 6 4 10 8 8 10 10 9 3 3 9 6 9 2 5 4
vardas53 pavarde53 2 4 10 1 1 5 3 8 5 2 3 7 9 2 7 5
vardas54 pavarde54 6 3 4 4 1 9 6 8 4 10 7 10 2 4 8 8
vardas55 pavarde55 2 4 2 7 2 2 10 6 6 2 8 10 9 3 10 1
vardas56 pavarde56 8 10 3 7 6 8 10 2 9 4 6 5 9 3 3 10
vardas57 pavarde57 10 3 3 3 8 1 2 9 1 3 2 10 6 7 5 7
vardas58 pavarde58 3 10 2 7 3 7 3 4 3 4 10 10 1 10 8 9
vardas59 pavarde59 7 5 7 4 8 5 2 4 6 8 7 5 5 7 7 1
vardas60 pavarde60 1 4 1 10 6 3 9 1 1 6 5 9 5 8 9 9
vardas61 pavarde61 4 7 2 9 1 8 4 3 2 4 3 10 5 8 4 3
vardas62 pavarde62 1 8 4 3 4 4 9 7 10 4 4 7 3 4 2 1
vardas63 pavarde63 6 4 2 10 4 1 10 1 8 9 1 6 8 8 8 4
vardas64 pavarde64 8 6 3 9 4 2 8 4 8 10 4 2 5 10 5 7
vardas65 pavarde65 8 5 2 8 3 5 7 3 2 6 8 7 6 9 5 3
vardas66 pavarde66 4 5 3 10 2 10 2 10 7 7 1 2 8 3 2 7
vardas67 pavarde67 7 2 6 5 5 10 2 4 1 6 7 8 2 3 3 4
vardas68 pavarde68 6 8 3 5 3 9 3 6 9 7 10 8 1 1 1 8
vardas69 pavarde69 6 9 3 1 8 1 5 2 10 4 6 10 1 2 1 4
vardas70 pavarde70 8 10 2 9 1 8 6 9 8 7 10 8 4 6 9 8
vardas71 pavarde71 1 8 10 7 5 1 3 10 4 1 8 6 8 7 8 9
vardas72 pavarde72 10 6 1 8 10 2 4 10 8 3 4 3 5 3 3 4
vardas73 pavarde73 1 6 3 4 10 7 9 8 4 9 2 1 6 3 1 10
vardas74 pavarde74 5 1 2 6 8 1 2 3 3 2 3 1 10 6 10 2
vardas75 pavarde75 8 4 5 7 5 10 7 8 3 7 1 4 7 1 9 5
vardas76 pavarde76 6 6 10 8 8 1 10 10 2 6 2 1 1 10 6 6
vardas77 pavarde77 4 7 2 6 4 1 1 9 4 8 3 4 7 5 3 3
vardas78 pavarde78 10 4 2 1 1 9 10 9 5 4 7 3 7 6 8 5
vardas79 pavarde79 2 4 2 7 1 4 1 7 6 9 2 3 7 6 4 1
vardas80 pavarde80 4 7 6 3 5 3 5 6 3 9 8 6 10 2 4 10
vardas81 pavarde81 4 1 8 5 1 8 5 8 9 5 1 4 5 8 5 5
vardas82 pavarde82 3 8 4 7 10 2 5 4 3 5 7 1 2 10 8 5
vardas83 pavarde83 3 6 9 6 4 2 1 10 5 8 6 3 3 8 6 5
vardas84 pavarde84 2 3 6 3 5 1 9 5 5 6 9 4 7 5 6 5
vardas85 pavarde85 6 9 5 3 10 3 4 2 2 5 9 5 9 10 7 7
vardas86 pavarde86 2 6 10 2 2 6 3 9 5 5 3 8 8 4 2 2
vardas87 pavarde87 5 4 7 2 3 9 2 6 10 1 5 5 2 10 10 6
vardas88 pavarde88 6 4 8 2 4 4 9 9 9 6 3 10 10 10 4 7
vardas89 pavarde89 7 7 2 7 2 3 3 6 10 10 10 3 10 10 9 5
vardas90 pavarde90 7 3 6 6 2 9 7 1 10 4 5 9 9 1 10 5
vardas91 pavarde91 9 10 5 8 10 10 5 9 6 9 4 8 4 2 7 1
vardas92 pavarde92 5 6 1 2 9 1 9 3 1 8 5 3 6 5 3 10
vardas93 pavarde93 9 2 6 4 10 9 5 2 6 10 5 2 1 6 9 4
vardas94 pavarde94 6 10 4 2 2 7 2 2 6 10 1 7 8 6 2 3
vardas95 pavarde95 5 8 2 1 7 7 6 9 8 3 2 5 10 3 5 2
vardas96 pavarde96 8 5 10 2 1 4 10 2 2 10 2 8 8 3 8 4
vardas97 pavarde97 3 5 6 10 9 7 5 4 10 4 8 3 4 1 6 8
vardas98 pavarde98 8 5 5 6 3 3 9 10 7 5 3 9 9 5 3 9
vardas99 pavarde99 5 8 3 9 6 7 3 5 5 1 9 2 9 7 6 2
vardas100 pavarde100 6 5 1 9 3 4 4 6 8 9 3 1 7 5 4 8
vardas101 pavarde101 10 1 3 1 6 4 4 2 4 7 3 5 4 7 10 5
vardas102 pavarde102 3 8 4 9 7 7 7 1 8 6 3 5 2 4 9 4
